Maladie,Modele,R2,MAE,RMSE,MAPE
MAPI LEGERES,SVR,0.8463134388752427,0.5156625416168352,0.6341207448783683,15.214498080126996
Monkeypox,Linear Regression,0.8834891433199028,0.4000407678986282,0.5324481712734005,13.169399663978211
Monkeypox,Ridge Regression,0.8834923999905548,0.3975153135273754,0.5324407298190167,13.228145613264449
Monkeypox,Random Forest,0.8328741591594475,0.4166143071988139,0.6376993064164572,11.81351379633304
Monkeypox,Gradient Boosting,0.8392445782438273,0.3603380808114957,0.6254274760317328,10.344999837282025
Monkeypox,KNN,0.7951802986622851,0.5322560110345147,0.7059598566570776,15.249485345398863
Monkeypox,SVR,0.8837393591387146,0.367486601636906,0.5318761277549584,9.556577422524947
Méningite,Linear Regression,0.7380222155269732,0.588424438224446,0.7628135803152979,16.835832014086453
Méningite,Ridge Regression,0.7413884321177204,0.5875009313004157,0.7578969464164373,16.855897870498325
Méningite,Random Forest,0.8859526817604112,0.3945915831634062,0.5033020767548533,11.407357776777962
Méningite,Gradient Boosting,0.9265916492383396,0.3091177768391505,0.4037931220390288,8.044679089510577
Méningite,KNN,0.6879521395279713,0.6567869214467045,0.83252404995367,19.539709419244712
Méningite,SVR,0.6776880938895109,0.5639819329120572,0.8461051878385756,14.895763573139297
PESTE,Linear Regression,0.0,0.5257400830351168,0.6773858806765142,30.84697992395551
PESTE,Ridge Regression,0.0,0.6449484889191897,0.7012790715910313,37.59104175261354
PESTE,Random Forest,0.0,1.5626157103252565,1.5812099733415448,90.84639179816575
PESTE,Gradient Boosting,0.0,1.606121796891089,1.6390514232950806,93.7030027746212
PESTE,KNN,0.0,0.9907641935301174,1.0148354503624863,57.64651423026525
PESTE,SVR,0.0,0.7995872875091999,0.89871124050287,47.17685612618101
PFA,Linear Regression,0.8046502319302344,0.4501013021073352,0.5785253181016197,14.741327397912722
PFA,Ridge Regression,0.80214409687807,0.4524156678912217,0.5822244320670008,14.878564946762182
PFA,Random Forest,0.9385668559183638,0.2075712984898,0.3244272244973881,6.98973883050941
PFA,Gradient Boosting,0.9739965521880184,0.1380869417688807,0.2110723703963515,4.431200054456812
PFA,KNN,0.5960948800154782,0.5627329545316244,0.8318702615842106,17.3392828542393
PFA,SVR,0.9569309367403752,0.1846484741420719,0.2716430717714669,6.953550191632553
PNEUMONIE,Linear Regression,0.644564356191569,0.7511422930452696,1.079689017359614,12.01670491841324
PNEUMONIE,Ridge Regression,0.6460846334804689,0.7464384389585883,1.0773775079889854,11.977568223592646
PNEUMONIE,Random Forest,0.8602355629061598,0.4406683260731032,0.6770434404886198,6.515330064639718
PNEUMONIE,Gradient Boosting,0.7584345889238401,0.496010737794786,0.8900933770371957,7.610523034927636
PNEUMONIE,KNN,0.5724585681873255,0.8308314237292707,1.18415157949858,13.079325103280835
PNEUMONIE,SVR,0.7401027451516249,0.5542377048857361,0.9232494149073334,9.541280229473443
Paludisme (confirmé),Linear Regression,0.7436121109806828,0.6516691983639955,0.8605925126423397,6.306765900293583
Paludisme (confirmé),Ridge Regression,0.7445656558011484,0.6496231806496129,0.8589906859056993,6.289884831642629
Paludisme (confirmé),Random Forest,0.8764906624638806,0.3426554544626461,0.5973085153217607,3.588434550049334
Paludisme (confirmé),Gradient Boosting,0.9439761554823752,0.2721604602456187,0.4022863196897762,2.792842012548528
Paludisme (confirmé),KNN,0.4063184987387387,0.8529261474821999,1.3095605040283602,8.103819538735983
Paludisme (confirmé),SVR,0.6716672919804385,0.7230602748889239,0.9738809805300505,7.093066214310749
Paludisme (suspect),Linear Regression,0.8186703982436301,0.4821039294681505,0.6114514134885165,4.211035050054514
Paludisme (suspect),Ridge Regression,0.8194268463021637,0.4815055838220093,0.6101746924750505,4.205228097565539
Paludisme (suspect),Random Forest,0.9701346439820722,0.1853908180339302,0.2481483818429423,1.603155147399036
Paludisme (suspect),Gradient Boosting,0.9856182315629864,0.1425084731807661,0.1722002371980558,1.218722296963488
Paludisme (suspect),KNN,0.8052206153473741,0.4874154280131881,0.6337224523616913,4.327701258810975
Paludisme (suspect),SVR,0.8861417116683846,0.3776181963438226,0.4845180098995684,3.254691367692681
RAGE,Linear Regression,0.7503961715829914,0.3725502351825407,0.4225627618017682,15.041890781282078
RAGE,Ridge Regression,0.7713735198833578,0.3605274244895396,0.404416499981967,14.781875370840256
RAGE,Random Forest,0.7386772584913948,0.3804132583653382,0.4323686572424048,14.272215139139991
RAGE,Gradient Boosting,0.7368927833781338,0.367775050850475,0.4338423874349405,13.456508084104302
RAGE,KNN,0.6447667530403421,0.4319105403461666,0.5041066237826439,16.48027937324683
RAGE,SVR,0.4885156809818392,0.4463972995121496,0.6048974630757794,16.767682299851632
Rougeole,Linear Regression,0.7057910355432919,1.1195561953466575,1.274288765856815,23.319704536593417
Rougeole,Ridge Regression,0.7064713884178403,1.11751830877648,1.272814528289642,23.30837955830412
Rougeole,Random Forest,0.9302847728501112,0.4213104584044945,0.6203027792965708,7.999732379929752
Rougeole,Gradient Boosting,0.952817639828606,0.3531158873106083,0.5103048952256543,6.651621260144252
Rougeole,KNN,0.5705641858146582,1.2536913598639026,1.539533112375449,26.96686919379914
Rougeole,SVR,0.7532384665599934,0.8443097522474681,1.1670209001157803,20.816179376340408
TETANOS MATERNE,Linear Regression,0.7231155633680479,0.1754527962185845,0.2524557595634827,16.531281753910967
TETANOS MATERNE,Ridge Regression,0.6972609404433425,0.1874476683822966,0.2639795227320402,17.47942398247976
TETANOS MATERNE,Random Forest,0.0613106809868007,0.3744061671091315,0.4648329959943014,32.53105739584984
TETANOS MATERNE,Gradient Boosting,0.1492372292293413,0.3304263417133201,0.4425274845574504,30.05439434410369
TETANOS MATERNE,KNN,0.0938221704529502,0.3595244268791479,0.4567123198362355,31.757760146955206
