DEBUTSEM,MALADIE,TOTALCAS,TOTALDECES
2023-09-02,Choléra,1.0,0.0
2023-01-02,DECES MATERNELS,102.0,2.9
2023-01-09,DECES MATERNELS,4.0,3.0
2023-01-16,DECES MATERNELS,229.0,11.0
2023-01-17,DECES MATERNELS,1.0,0.0
2023-01-23,DECES MATERNELS,139.0,16.4
2023-01-26,DECES MATERNELS,1.0,1.0
2023-01-29,DECES MATERNELS,1.0,1.0
2023-01-30,DECES MATERNELS,33.0,11.0
2023-02-01,DECES MATERNELS,24.0,6.0
2023-02-13,DECES MATERNELS,279.0,14.0
2023-02-16,DECES MATERNELS,1.0,1.0
2023-02-20,DECES MATERNELS,237.0,9.3
2023-02-22,DECES MATERNELS,1.0,1.0
2023-06-02,DECES MATERNELS,39.0,13.0
2023-07-01,DECES MATERNELS,0.0,1.0
2023-09-01,DECES MATERNELS,24.0,8.0
2023-12-01,DECES MATERNELS,2.0,2.0
2023-01-09,DIPHTERIE,2.0,0.0
2023-01-16,DIPHTERIE,0.0,0.0
2023-01-23,DIPHTERIE,0.0,0.0
2023-01-30,DIPHTERIE,0.0,0.0
2023-02-01,DIPHTERIE,0.0,0.0
2023-02-13,DIPHTERIE,0.0,0.0
2023-02-20,DIPHTERIE,0.0,0.0
2023-06-02,DIPHTERIE,1.0,0.0
2023-09-01,DIPHTERIE,0.0,0.0
2023-01-02,DRACUNCULOSE,0.0,0.0
2023-01-09,DRACUNCULOSE,0.0,0.0
2023-01-16,DRACUNCULOSE,0.0,0.0
2023-01-23,DRACUNCULOSE,0.0,0.0
2023-01-29,DRACUNCULOSE,0.0,0.0
2023-01-30,DRACUNCULOSE,4.0,0.0
2023-02-01,DRACUNCULOSE,0.0,0.0
2023-02-13,DRACUNCULOSE,0.0,0.0
2023-02-20,DRACUNCULOSE,0.0,0.0
2023-06-02,DRACUNCULOSE,0.0,0.0
2023-07-01,DRACUNCULOSE,0.0,0.0
2023-09-01,DRACUNCULOSE,0.0,0.0
2023-01-01,Diarrhée aqueuse,305.0,0.0
2023-01-02,Diarrhée aqueuse,2126.0,244.70000000000002
2023-01-09,Diarrhée aqueuse,1854.0,145.6
2023-01-16,Diarrhée aqueuse,12640.0,250.5
2023-01-17,Diarrhée aqueuse,45.0,0.0
2023-01-19,Diarrhée aqueuse,296.0,0.0
2023-01-22,Diarrhée aqueuse,77.0,0.0
2023-01-23,Diarrhée aqueuse,10759.0,157.9
2023-01-24,Diarrhée aqueuse,1108.0,4.0
2023-01-26,Diarrhée aqueuse,377.0,0.0
2023-01-29,Diarrhée aqueuse,298.0,0.0
2023-01-30,Diarrhée aqueuse,12078.0,27.0
2023-02-01,Diarrhée aqueuse,9617.0,11.0
2023-02-06,Diarrhée aqueuse,2037.0,4.0
2023-02-13,Diarrhée aqueuse,12404.0,167.6
2023-02-16,Diarrhée aqueuse,314.0,0.0
2023-02-20,Diarrhée aqueuse,11111.0,145.4
2023-02-22,Diarrhée aqueuse,339.0,2.0
2023-02-23,Diarrhée aqueuse,90.0,0.0
2023-06-02,Diarrhée aqueuse,10197.0,7.0
2023-07-01,Diarrhée aqueuse,37.0,0.0
2023-09-01,Diarrhée aqueuse,9112.0,16.0
2023-09-02,Diarrhée aqueuse,309.0,0.0
2023-12-01,Diarrhée aqueuse,491.0,0.0
2023-12-02,Diarrhée aqueuse,3.0,0.0
2023-01-01,Diarrhée sanglante,16.0,0.0
2023-01-02,Diarrhée sanglante,0.0,11.2
2023-01-09,Diarrhée sanglante,0.0,12.0
2023-01-16,Diarrhée sanglante,635.0,13.100000000000001
2023-01-17,Diarrhée sanglante,1.0,0.0
2023-01-19,Diarrhée sanglante,2.0,0.0
2023-01-23,Diarrhée sanglante,659.0,8.1
2023-01-26,Diarrhée sanglante,7.0,0.0
2023-01-29,Diarrhée sanglante,14.0,0.0
